State,District,Market,Commodity,Date,Arrival_Quantity,Arrival_Unit,Modal_Price,Price_Unit
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,03-05-2024,476,Metric Tonnes,7340,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,04-05-2024,402,Metric Tonnes,7259,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,06-05-2024,798,Metric Tonnes,7380,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,07-05-2024,633,Metric Tonnes,7429,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,09-05-2024,396,Metric Tonnes,7389,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,11-05-2024,209,Metric Tonnes,7260,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,14-05-2024,28,Metric Tonnes,6720,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,15-05-2024,429,Metric Tonnes,7269,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,16-05-2024,546,Metric Tonnes,7239,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,17-05-2024,758,Metric Tonnes,7279,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,18-05-2024,622,Metric Tonnes,7259,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,20-05-2024,740,Metric Tonnes,7379,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,21-05-2024,774,Metric Tonnes,7439,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,22-05-2024,393,Metric Tonnes,7267,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,23-05-2024,515,Metric Tonnes,7379,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,24-05-2024,395,Metric Tonnes,7459,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,25-05-2024,131,Metric Tonnes,7269,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,27-05-2024,677,Metric Tonnes,7389,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,28-05-2024,675,Metric Tonnes,7369,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,29-05-2024,874,Metric Tonnes,7329,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,31-05-2024,523,Metric Tonnes,7389,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,01-06-2024,288,Metric Tonnes,7364,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,03-06-2024,369,Metric Tonnes,7389,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,05-06-2024,97,Metric Tonnes,7370,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,07-06-2024,365,Metric Tonnes,7309,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,08-06-2024,260,Metric Tonnes,7399,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,10-06-2024,648,Metric Tonnes,7369,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,11-06-2024,724,Metric Tonnes,7389,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,12-06-2024,445,Metric Tonnes,7379,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,13-06-2024,433,Metric Tonnes,7329,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,14-06-2024,725,Metric Tonnes,7290,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,15-06-2024,457,Metric Tonnes,7211,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,18-06-2024,907,Metric Tonnes,7259,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,19-06-2024,990,Metric Tonnes,7259,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,20-06-2024,1025,Metric Tonnes,7259,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,21-06-2024,230,Metric Tonnes,7219,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,24-06-2024,623,Metric Tonnes,7267,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,25-06-2024,925,Metric Tonnes,7309,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,26-06-2024,862,Metric Tonnes,7369,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,27-06-2024,1014,Metric Tonnes,7319,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,28-06-2024,676,Metric Tonnes,7359,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,29-06-2024,476,Metric Tonnes,7269,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,01-07-2024,1374,Metric Tonnes,7369,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,02-07-2024,1053,Metric Tonnes,7369,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,03-07-2024,940,Metric Tonnes,7375,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,04-07-2024,1066,Metric Tonnes,7346,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,06-07-2024,514,Metric Tonnes,7359,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,08-07-2024,1969,Metric Tonnes,7339,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,09-07-2024,1511,Metric Tonnes,7359,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,10-07-2024,1375,Metric Tonnes,7379,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,11-07-2024,1071,Metric Tonnes,7469,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,12-07-2024,1257,Metric Tonnes,7369,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,13-07-2024,495,Metric Tonnes,7386,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,15-07-2024,268,Metric Tonnes,7344,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,16-07-2024,267,Metric Tonnes,7359,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,18-07-2024,38,Metric Tonnes,6800,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,19-07-2024,186,Metric Tonnes,7329,Rs./Quintal
